source,target
a3f6a8f3-e149-47fa-b74d-5847e5b7c26a|GCPP13411081-12,b9c36398-d919-4ea9-a624-e4c078f2ad9c|GCPP13411081-4
fb363e27-ae07-43e0-9a37-3d8b6c839aa6|L3113-26,b22cfc5d-a573-461a-b14f-b0591e4d25a1|L3113-17
02811e38-c660-4b1c-a285-bb579e5f149c|ASD3999-12,834f390d-1c9a-4144-9fab-31192643854f|ASD3999-11
faf0c2c6-b424-4581-b2ee-a469ea536e2f|SPR11206-2,4ca3ddca-a7af-49c5-abd0-04de8a15c53c|SPR11206-1
fb3713e7-6412-48d7-9300-02a74cad4e07|AO-C4436-43,b4f0b707-d309-4b0e-a300-0f6d699af565|AO-C4436-40
026e75c1-6c90-46cf-bfc5-1bc4cbf122fa|MOD-10235-15142-2,94d14f3a-aba5-452e-b05a-316947a86b74|MOD-10235-15142-1
fafa66d2-b662-47d7-81f6-39b7aa5c7d58|SS13276-2,90801074-b46a-4b47-9e14-fd818e1d7415|SS13276-1
fdf5ce8d-96ec-4074-bb86-28fd1a154bfe|L10164-22,7726b566-bd21-494b-b09a-3909c9fce4d6|L10164-11
4dbbe2cf-679d-4e7b-bdfb-a09aa07e4380|G10930-14132-4,e1f7603a-1ac3-481e-85ef-28d1895a40ab|G10930-14132-1
fb2b1688-cb83-4f25-aa73-d15e6e53dbb1|R3576-4,a7ce4702-322f-48aa-b1cd-6ccc2402dc59|R3576-3
b1871c71-1e41-4505-9a50-b0efaf1c1849|SSFV13852-3,98e45c70-4bdc-4e5b-a360-012dd08b0e91|SSFV13852-1
01d7e77d-b8cd-435d-bb74-8f2ec1bbbd72|GCPP12810978-6,e679392c-91e0-4e97-8fc8-df2856681932|GCPP12810978-3
02329427-7e12-4322-8bc9-31e44b2fab90|ASD4009-7,f30b3e05-d898-4f64-b46c-76950d7fe5b3|ASD4009-5
a40cc622-c7fd-460f-b000-be919b4fde48|GCB0214398-13,e99c3561-aad9-4ece-a6fa-9cde4c076d9c|GCB0214398-10
02621342-5a19-48c6-b0d5-b5d7c2dfe50b|R3512-3,fd87007b-174e-4898-a300-d719f8d17a6e|R3512-2
fb0e7eeb-cb0e-4b04-931c-2b6eb3bc2ad8|R3473-17,39a9695a-9220-480b-9a5b-7297a377e63a|R3473-14
01f1ef0a-d04b-4416-abf5-6a9920f69180|GCPP23912350-6,227a7ffd-f70a-49d2-afbe-15728d0ec343|GCPP23912350-1
fdbc7270-7834-427e-a414-b1d5af8408eb|MOD-3399-14126-2,6cbb6648-e03d-43e9-b832-c1fa2a39d04b|MOD-3399-14126-1
feca405f-370c-4f41-bb89-ecdd18ba90b5|MOD-4286-13490-1,80ce2f96-bac0-4a59-b290-48e0a8e78de2|QL4286-28
fe0b8752-3d40-4078-a2a0-d5e73c6cc161|MOD-3306-11654-2,b1774b57-a82e-4cad-a298-c95bfccb7a8a|MOD-3306-11654-1
fb19d898-85cc-43e2-ac69-0ec6e71e2786|SSF3926-2,4e1dab2f-ab2c-4d3d-abf0-577dff9b8a08|SSF3926-1
a40393c4-cc69-470d-b0bf-068366557dc7|MOD-2522-12630-1,7761e86b-ac8b-45e5-aaa2-ca8c71278d60|FR2522-72
023c8ec8-ec2a-4493-8c49-9a59ba341851|R2150-48,44715cf1-336e-407b-93cb-1205457c2c69|R2150-28
01f67f12-823a-445f-bea6-7444d20de788|SG10631-5,6176ce11-4b2d-40b4-a68a-0ee814c5c2b9|SG10631-2
fb094a4d-61b8-4e83-8cab-fe8317d3e7ec|GCAOV00312889-56,6182b3e1-c2cf-4e41-8d68-0b7e368ffb71|GCAOV00312889-1
44b514fc-6286-4314-8615-b0f373f51d0d|GCAOPBE01013031-17,1c80ccbf-4fe0-4c89-a9b5-abe259502043|GCAOPBE01013031-1
a406e47a-757f-4098-b62d-00d239389404|QR4219-11,13f480bc-9bcc-4bf6-a61c-56eb5fd52635|QR4219-8
fe390fb3-0f29-4354-b11d-a73af5b5364d|R3075-35,3c21459b-944b-4f4f-9205-56a66cce1f0e|R3075-30
fb17df6c-7865-49b0-8d8d-7e17ca4ff9d9|ASB4461-12,0b8fe03f-9b91-48cd-ac52-571eb9e7cce4|ASB4461-7
fb17f422-0def-460f-be13-9da5ebec3a6b|GCMODPP1611131111313-1,8d5c619b-7cdd-4f21-9a7c-20d4d7ec992b|GCPP16111311-1
a3cf6f0d-52bf-473e-91a6-71040e13b153|MCB2790-4,dce53bdd-3d3e-412b-8920-18d9bb173962|MCB2790-3
591862fc-a68a-46da-8cd1-01b042b7dad7|SP10572-4,45864210-4ce0-4b6e-9c35-a742d06d413d|SP10572-3
fb1e2803-8359-4a38-a08d-455435af31f3|ASD3989-11,d3d00b93-f348-43c4-bd43-c46ff27c5574|ASD3989-9
fcfe0c87-9fad-4297-930c-973a9ff14ebf|SD2L10264-2,bc7afb22-d3b9-4c34-9723-5d6ec8e2a104|SD2L10264-1
1184bf8c-97cb-4560-876a-c727a7556fa3|AO-D3068-21,6fc810bb-69f2-46b8-ab68-97a86c46fdd9|AO-D3068-20
081d0cf8-96b2-45e5-b7b5-9098de6ecec2|R3311-48,6fe99336-a98b-474c-ae6e-1489fa480cfb|R3311-47
022a8804-af01-4608-9d94-8f2cda483599|GCPP14411176-6,e959b04a-7b2a-4e09-9d77-e5894a49184b|GCPP14411176-4
fb2784a4-b7ea-4b17-a46f-bbcdff17c226|R0539-11,bf642551-1ebd-4cd5-ab62-f7adbf59d38e|R0539-5
596db092-e14e-4497-9265-9a6353e4aa43|F12356-3,b094573a-c8cb-43fd-925b-ab7358cc6d72|F12356-1
e00a4091-89a5-4bf2-9d09-d18c55d646f8|AO-D12558-20,334ff879-4e7c-4ae0-8719-1b6c032376df|AO-D12558-1
0242d3c6-c0d9-4c5b-bac0-63c8d895aa10|R3572-3,a2192b68-fd0d-457c-9ae7-a5ec1ca77c21|R3572-1
67612da7-93ce-4bcd-9fa6-218006e5e1e0|SSF14424-3,df73fbcf-4566-4b14-9aae-500027f4cc68|SSF14424-1
02a3abad-93f7-49a4-9cec-2374ba171cc0|X2110997-2,e14e7241-1534-490a-b16b-932cba53d394|X2110997-1
59189530-0a29-42e9-bc2b-05397dc967fd|GCLC32113164-4,b6959346-9c90-4c6c-9ff8-92d913eaeec6|GCLC32113164-1
ff3abacd-3c19-4489-9569-3b4e28dfd60d|P3205-4,232b96cf-83d2-49a4-8cd2-6019b6b04050|P3205-2
5979b357-2162-4b09-be24-63740dcc8cbc|QV10920-2,b4434dc3-2279-4e11-8790-91a2cbb65104|QV10920-1
fdff9790-3337-4996-95ec-80e6a49b6de3|SR11570-4,6cc656f7-3768-4408-8c0d-6dfcde656533|SR11570-2
bc6e144c-55e2-43bb-97ed-90a90d6dfc6b|AO-R11130-18,d6a995e8-9e55-4527-960b-221341a9ff66|AO-R11130-1
dfdf34ba-dbd1-476d-bf95-389adaa99352|MOD-4286-13490-3,feca405f-370c-4f41-bb89-ecdd18ba90b5|MOD-4286-13490-1
597cec4e-d5fe-46fb-b515-e3184239c7f0|G3015-4268-38,d1e83fe7-160a-43f2-ac9f-9ea7317693ed|G3015-4268-15
a4088af2-d1d0-422f-8bc9-128357b3e26a|F11648-4,b9d10825-ba33-40c4-ae36-1949e0a872f7|F11648-1
122f06be-8bb1-458d-92ed-06dba66525d5|XX14453-2,a8b4862c-e551-4647-9571-4d823229c562|XX14453-1
fb3a4196-0e70-4db9-a614-cf97dec515b9|GCAOV00112884-51,529f178a-5203-427d-bf7c-e0344d49637c|GCAOV00112884-1
fb3b36c0-d894-4597-bbb3-c13ad85ee586|GCAOS00512002-43,d5927cad-7e2e-457a-9db1-4d2281965253|GCAOS00512002-8
fd10e59d-ebd9-4d3c-8806-5e7bb62491f5|QR10236-3,7f28088f-cbb5-4e08-9390-4b31f3286524|QR10236-1
a407312c-8985-4c76-bfac-63c4fcf2d08a|GCAOAS01013771-3,ec1ed9ab-8e43-4605-97da-ef49d4e43a3e|GCAOAS01013771-1
fb6ab451-b49a-4c4c-8aba-aff4fffed407|QR1888-21,f3cdbdb4-9659-4dce-aca1-5abc65a5f723|QR1888-19
2cb8e1b1-e86c-4cd0-b425-51b868143769|MOD-1622-13697-2,78e53d6b-db3f-46f3-8e52-fe15698a9943|MOD-1622-13697-1
a47215df-0b5a-48ee-b015-d23e7505256e|SF13310-3,f3af8dd4-c3a3-4159-aa43-d137b053e5e9|SF13310-1
49370f2a-950f-4a7c-a9f2-edac28ef1b92|R2635-15,7d1724a7-0997-4537-bb5b-aad8deacfaeb|R2635-8
a3993fa6-40d7-469c-b707-1f16a1a17602|BUND14848-1,9bc8fc4d-f782-4912-878a-c59f4f4edfe8|BUND14847-1
a97c53e3-4b67-4946-9fdb-f07834e79d9a|R12848-11,047f8ade-1aba-457f-a2ca-73601aa578de|R12848-1
a39bd537-dc01-4cdf-ba19-ce6cc168e25a|R2553-25,b4da78b8-c3f9-4653-b832-4ee80b1219d2|R2553-23
1a02d235-1be8-4ac4-a49b-8dad237b25c4|GCLC0354233-10,cc84aaad-a680-4329-901d-6cd2bb280498|GCLC0354233-8
a39fc508-645d-49c4-b7ac-bf1e7bd3a13e|MOD-3085-10226-2,26ef8caa-dd82-487f-a4f6-851b0d106ded|MOD-3085-10226-1
59b3cae8-95a7-47f0-a19c-cac3f576a40a|R13926-2,cd8771c4-5475-48f4-bec1-41a735a0daf3|R13926-1
ff48b722-43c8-402b-a59d-963ebf4c12cf|MOD-3208-14026-1,702db472-4cab-4258-95ba-3b153a655e1e|QR3208-35
301c3168-69e1-44ad-b70b-75b860783f86|PR3582-31,fcee1e85-cfbf-4f4b-8124-e483c7cf502f|PR3582-16
028d262c-d5b7-49e0-9383-7099911fb029|R1356-19,10cc0501-0f05-4d16-972c-677e3848130f|R1356-17
3e8cd15d-f0ec-47a2-a498-6a8361105646|R12501-3,5c65920d-d64f-4c02-bf07-cf4e2acd93c4|R12501-1
a4103c22-6ac2-4013-a02e-053f5e689a88|R0742-43,6ad4c6fc-b05b-4b68-b4a2-ed1415e07a44|R0742-36
e4d5b8e3-f348-4930-962e-9af4e55e6fca|QR3672-30,32c4f4a7-1458-4e13-b399-7dc5db8daae9|QR3672-21
0290bd1d-4b89-4e9b-9630-37f0ebc228d2|MCB2650-45,da5cd2c9-79f8-421f-9aa3-41c573fd6568|MCB2650-44
028d37fd-49e2-4172-8e69-4eed11f72707|FR1624-41,71a76df9-dfeb-4de2-b76f-56106cd20229|FR1624-39
bcd433fb-19c6-4f24-97ff-daefa5be05d4|QR4247-29,cddd15bd-420f-4bdd-9e5c-cb53f416ad2b|QR4247-10
59aa134b-01d6-42dd-bb3f-b1ce779c238f|SSF11045-8,5cc7e425-8ff6-4670-8162-3bafe7d78d47|SSF11045-5
1c67f5ab-4510-45cc-810c-ace90e0bc6ed|GCMODLC21511780-11851-8,837ea3cd-e23a-4c05-8991-29074f29fafa|GCMODLC21511780-11851-2
fb43ee07-62a1-4377-9b48-e5140cc6083d|R3186-27,9f77ee85-3224-46d2-8bca-1acf0b821b6f|R3186-25
a39c6694-14ec-4e59-b369-b8490632dcbb|GCMODPP29813591-14207-3,01053417-578b-4a0f-9be2-f420fca4d60d|GCMODPP29813591-14207-1
fb3c116c-7c73-48bd-ab04-a6bcdc458a2a|GCAOAS00213763-2,aa65f20d-894e-4a75-9cb7-9bc181a50142|GCAOAS00213763-1
fb5d78e6-7b24-46f3-8c02-0c7b7df774fd|R1214-33,49419a85-d72b-43ae-95f0-1936720a020d|R1214-29
59ee5beb-e156-4684-bed2-c6e6dd68e149|QF11592-16,8c452537-a86a-4a23-aad9-ea7c0f8d93c0|QF11592-2
5acb9f08-e6fd-4013-823d-1dfa69bf5e45|SPR3817-8,1fd623ca-6bfb-47b8-8ac4-6239ddcfc5f9|SPR3817-7
a38597b9-52f3-4f01-82c6-5a760d913f4b|R3416-14,35310efe-d127-4850-af87-2654b94c0c34|R3416-9
d5ca1135-cbd4-4cb8-a9d2-a84efc5dd66b|SSF3860-9,14840520-e46e-45c2-9851-1e1c817732ba|SSF3860-6
fb432a65-2f91-4cb9-b051-83e3657e2bd8|ASD4108-9,8ca72066-78ca-4f8d-b2f9-75526f3025c2|ASD4108-6
ffe1de95-567b-4a1d-97ce-026c42c1b30e|MOD-1947-10189-39,a7a6b3ad-ccca-40f2-8af2-6782efd9bb1b|MOD-1947-10189-1
a3c5720f-0655-43c0-bb9f-e112b9bb06b7|X2919-10,ae54b37c-906a-42e8-869f-cbdf44843253|X2919-9
bd31ef26-a5af-4f9b-a705-e654ee0dcd2b|QR11602-24,f042c0ef-bfa9-4851-b59f-812a6cf166e6|QR11602-2
905912cc-ef07-49a6-8226-0a1584bf59b5|R2150-53,44715cf1-336e-407b-93cb-1205457c2c69|R2150-28
a4217656-0f78-4e10-b80e-09c6d6f53216|R3182-3,680e15a0-f94f-47e2-bfd8-d80ef760d9c2|R3182-1
59b8e44a-bcca-4f61-8c42-674eeb9c8514|R10169-2,e68d01a8-3543-4dd2-931f-e848666704c5|R10169-1
59f0c5fb-4d45-4e2c-a2d4-e335e189e823|GCLC28812660-6,a2bf114b-3ef2-4309-86f4-3a4d9d6bab11|GCLC28812660-1
5a3810fc-c63c-4bb4-a23e-22997e7130f7|PR1971-17,b3ee928c-70f3-4a47-8d44-46ffa9ae5915|PR1971-16
28bd2ad7-a1c3-4b8b-a9cd-99b3aa7b5f35|GCLC0664555-6,89e5fd16-b202-494c-aaca-e8358807b40a|GCLC0664555-5
030147b7-a8f6-4349-abc2-df30cc7ebd08|L11145-6,cd255f4f-ac8c-4797-9183-e0f3395ce3f3|L11145-2
b9cf9298-9694-4d2b-9ac8-eda4bc33498c|R10075-16,1b0a2e49-7846-427f-9974-22302074af23|R10075-2
b17945d2-7e8f-483f-98c7-c78b010bbc44|R3415-25,27fbf429-6896-4d37-924e-3acab3d81abd|R3415-9
59ddc0d0-d44c-4674-8bae-0b69d5a1e42f|R11685-3,3566ea91-cd9f-4282-b863-cbd0cb496dc5|R11685-2
a44405dd-e44c-4288-8d26-5c30534f39c9|MCB2642-26,fe35f8d9-da3c-42a3-81aa-62337e1357ab|MCB2642-20
1dbc3acf-0295-472d-be57-82823cfdd3bc|GCMODLC11510528-11880-7,e7b4bd36-1356-49d5-b73d-4170ff51e40a|GCMODLC11510528-11880-2
a3f7c00c-a7e0-4be4-8854-3dce5c281507|GCB09611154-7,6a4c39ca-3632-4737-bdf3-1deeb5b602b4|GCB09611154-3
3c9b27f7-ae07-4729-a7b2-71bb32e74cee|R3951-35,8ea619c6-00fd-4eab-b358-3be445f22260|R3951-20
61106d8d-4ca7-4ffa-8e7b-cab89f79a308|L12708-13,9fa12079-386f-4566-9e45-54c86feff8a1|L12708-1
59cca956-7e3c-4580-b615-4760e0647eda|R3282-10,4a48c6ac-5c4f-4738-ad76-dc11c7ccd921|R3282-7
fb5ef731-71c2-4b09-a98f-2d9280bb6220|GCPP0074082-11,5e77950b-9ce8-4ea8-b824-210730d3c364|GCPP0074082-10
2cda1013-449c-4cc4-8e22-13f27ae8b685|R2996-52,155701f0-3568-44c6-a97b-ddfa7a91dad5|R2996-39
a45a3a56-0897-4bf6-ae89-406d1eaccb84|GCAOV00112884-2,529f178a-5203-427d-bf7c-e0344d49637c|GCAOV00112884-1
6613d19d-0ff2-474a-90ba-5e751492e5ae|QR12203-16,491b0e65-f9b8-49ce-b6c9-2413c6eafcb8|QR12203-1
5ad0276a-85bb-4e16-854f-ba1823d19b5c|R3316-24,e525b319-f49a-4d73-9adc-a8afdbc8fdcd|R3316-21
fbd1622c-28cd-4033-91f6-22bf38305fe2|GCGAP00312639-3,89f40a1a-1026-4523-a591-1b1ce0bd7286|GCGAP00312639-1
59b40914-6da4-4afc-af48-01b22d691c04|V12902-2,dffc1f78-81af-4d7b-b429-614708ce53af|V12902-1
ecdb7b01-ac1f-4066-bd30-9ef6f0323d3a|QF11743-12,5f89a1af-05fd-4972-b9e1-2f68a1f15038|QF11743-2
005c078d-67a3-423e-b741-f5a13af849e7|AO-SP3725-23,eeb7c891-e6f1-4a77-b988-28f33deaa2f1|AO-SP3725-22
a3e3edb6-2199-4f80-ad06-262513736abc|R1370-8,68be0a7d-eeff-4d8f-988e-e8ee695abbd6|R1370-5
fbd60008-4710-42e1-8b57-de1de839b787|ASD4105-5,aab25b42-1379-4e4d-bb2b-bc39aa669bf3|ASD4105-3
59fab471-43e7-493b-b754-f24d8912cb53|AD10088-2,2f967e6d-b385-4cd5-b6d4-8af5af0f1c45|AD10088-1
fd6c884b-1699-410f-8941-aebdad408806|FR1646-20,4dc1f1a2-d4b6-429a-ad47-a1d9cd805991|FR1646-14
a4715e5a-24e4-40dc-aa45-d12bbd0099c0|BUND14302-1,790e63b9-433f-48c6-a582-0a3f3deaca5b|BUND14163-1
fbac1ff7-2795-4f55-b1c2-c47573040206|L10235-11,dee38eea-f2f6-4a7b-9ed6-fa44f5b6701d|L10235-3
fc119dcc-7a5a-49ee-ada5-aa5a197ea3db|QR3010-9,331022ad-0866-4432-8bf7-eb4d749e6e96|QR3010-7
d27c6b0b-1824-4064-8835-9d27a195ec2e|F3149-5,dd3a673f-4c35-479b-ab93-d66301265989|F3149-3
ff6df4d1-c317-4e06-9f72-b6157ee658e0|R2893-39,af9c3aa3-873e-4196-a46b-a5438c8077a9|R2893-33
59c245ae-65ae-482b-b732-5e83181d96f7|QV11139-6,399ba56d-ce62-4013-b698-66a01fd099ea|QV11139-2
fc195862-bd61-4cad-b0a5-d2a7626a978e|GCPP14911172-6,8013e406-6b2e-401c-9fad-6c07105c6657|GCPP14911172-3
5a03e7d2-ffc6-4303-b99a-d196b8cb2f48|GCAOPBE00913030-7,1ecad1e8-8f9b-42cd-803b-5fb633685793|GCAOPBE00913030-1
ef7795e9-7062-4975-a3de-caeff81be269|QF12272-5,d937e8b3-401e-4eba-9653-70e8c95cb074|QF12272-1
531007cf-dcb5-462b-82c7-217912949a5b|GCPP27613037-6,9903e959-8ae5-4133-b63a-5e739dad3e0d|GCPP27613037-1
fd961a0d-13ad-4836-8595-4a205c124542|R12818-3,403c420b-5fac-485e-a091-3f5a11e3353d|R12818-1
a4748fbb-db88-4199-8873-34330c7749bc|SPR3783-3,80416866-c316-4c1d-8161-c2850ec6070c|SPR3783-2
0309bad2-489d-4793-9b79-72817a232c15|R1376-34,17e7e903-6848-49ad-b6ba-207e30320f30|R1376-29
bf4e4077-18e7-42a7-bcae-40f365a49959|QR2170-46,bc6e24be-e0e3-4b04-83c6-16a812985fec|QR2170-40
a4c8ec6e-0749-41ce-8d30-7c447c880316|GCPP0144137-2,bb430f4e-2936-47df-98a5-a6cc25176f86|GCPP0144137-1
5a2ab4b2-7f50-42ce-adb9-adfe1c22323f|GCPP0404341-14,0708274d-80f8-49ed-b40a-9e04ac1dbd31|GCPP0404341-11
5a21f8db-640f-42a3-8ed3-5679037b31e6|GCB08510792-10,a35c2e34-31d9-4b30-a45a-7e51f3285f45|GCB08510792-3
a4da7dc8-3b07-4b05-b051-a9ff017f0737|QR10843-17,29c40555-83d0-4c49-9419-efed2a7300cc|QR10843-15
fdcd6162-8b00-4a54-a64b-18add6e3ee72|QR4204-7,e95e5f46-1a87-476c-87c9-900f7836374f|QR4204-5
a1562f41-06ca-48f6-9245-7f61a2af8e19|GCLC29312810-3,23a9ad3a-90d1-435c-b8f8-db6aca073dea|GCLC29312810-1
fd3f281e-d52d-4fe3-9d84-e3d9c839d734|F13728-5,65318b7a-af73-4c36-8f27-32f8cb201116|F13728-1
56477f28-789f-4309-95bd-1b6eba2d3406|QR11602-14,f042c0ef-bfa9-4851-b59f-812a6cf166e6|QR11602-2
5a221b21-08c0-463b-918b-c3e1f50751c2|PR3364-5,378d6a60-2fb8-4f5f-b3d0-1b306e622c99|PR3364-3
dc995ae4-baa3-4d3d-adc2-ea93d6f320db|G3900-12080-7,d64b7df4-1a21-4884-9461-366a0c30f687|G3900-12080-6
